   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0  2.50526486E-01  1.11082289E+00  1.85269331E+00  2.17466400E+00  0.00000000E+00
     100  3.76562871E-01  1.08746934E+00  1.84283180E+00  2.17265234E+00  0.00000000E+00
     200  4.38034878E-01  1.13110930E+00  1.79909239E+00  2.16979636E+00  0.00000000E+00
     300  4.52587390E-01  1.09729962E+00  1.81024824E+00  2.16469409E+00  0.00000000E+00
     400  4.86435931E-01  1.00716689E+00  1.85136639E+00  2.16299852E+00  0.00000000E+00
     500  6.67204689E-01  9.38461438E-01  1.83370710E+00  2.16526065E+00  0.00000000E+00
     600  6.00062233E-01  9.06439765E-01  1.87384336E+00  2.16633254E+00  0.00000000E+00
     700  6.13522263E-01  1.02778014E+00  1.80326312E+00  2.16437045E+00  0.00000000E+00
     800  6.76020805E-01  9.25377230E-01  1.84702795E+00  2.17366957E+00  0.00000000E+00
     900  6.58971252E-01  9.92965961E-01  1.81380545E+00  2.17027987E+00  0.00000000E+00
    1000  6.08395840E-01  9.81469876E-01  1.83950364E+00  2.17191212E+00  0.00000000E+00
    1100  6.44589953E-01  9.95417569E-01  1.81478129E+00  2.16789840E+00  0.00000000E+00
    1200  6.74042333E-01  9.64083264E-01  1.82851534E+00  2.17422583E+00  0.00000000E+00
    1300  7.57036253E-01  9.98974533E-01  1.77409090E+00  2.17219993E+00  0.00000000E+00
    1400  7.89622823E-01  8.87271036E-01  1.81674020E+00  2.17055270E+00  0.00000000E+00
    1500  7.66190319E-01  9.46058632E-01  1.79962859E+00  2.17272585E+00  0.00000000E+00
    1600  7.34942846E-01  9.55107554E-01  1.79736614E+00  2.16400010E+00  0.00000000E+00
    1700  8.65652152E-01  7.94228433E-01  1.81926766E+00  2.16561476E+00  0.00000000E+00
    1800  9.04447529E-01  8.41256294E-01  1.77920898E+00  2.16594600E+00  0.00000000E+00
    1900  9.52535383E-01  9.61756031E-01  1.67997312E+00  2.15745405E+00  0.00000000E+00
    2000  1.03167386E+00  8.47203488E-01  1.70995765E+00  2.16934549E+00  0.00000000E+00
    2100  1.00736137E+00  8.65897710E-01  1.71235472E+00  2.16719045E+00  0.00000000E+00
    2200  9.88194888E-01  9.74688651E-01  1.66415503E+00  2.16701617E+00  0.00000000E+00
    2300  9.03001437E-01  1.03999768E+00  1.68563485E+00  2.17678010E+00  0.00000000E+00
    2400  9.88485677E-01  1.00493853E+00  1.64699128E+00  2.16785278E+00  0.00000000E+00
    2500  9.66040255E-01  1.11613571E+00  1.59752538E+00  2.17510460E+00  0.00000000E+00
    2600  9.56307472E-01  1.05736355E+00  1.63471658E+00  2.16906430E+00  0.00000000E+00
    2700  8.57191031E-01  1.15566022E+00  1.62841010E+00  2.17302703E+00  0.00000000E+00
    2800  9.13166115E-01  1.07459533E+00  1.65363061E+00  2.17327441E+00  0.00000000E+00
    2900  9.70754061E-01  1.12481300E+00  1.58864846E+00  2.17517164E+00  0.00000000E+00
    3000  8.90991157E-01  1.06704810E+00  1.66629569E+00  2.17002263E+00  0.00000000E+00
    3100  8.94768342E-01  1.03819189E+00  1.68554554E+00  2.17244484E+00  0.00000000E+00
    3200  9.79079676E-01  1.04889912E+00  1.62693709E+00  2.16926501E+00  0.00000000E+00
    3300  9.57367015E-01  1.12027513E+00  1.59602645E+00  2.17229565E+00  0.00000000E+00
    3400  9.64180593E-01  1.10781594E+00  1.59681476E+00  2.16949712E+00  0.00000000E+00
    3500  9.14077993E-01  1.12226187E+00  1.61240637E+00  2.16676361E+00  0.00000000E+00
    3600  9.69704831E-01  1.11124383E+00  1.58808046E+00  2.16730013E+00  0.00000000E+00
    3700  9.61938035E-01  1.15716371E+00  1.56245933E+00  2.16924683E+00  0.00000000E+00
    3800  9.40957502E-01  1.09191133E+00  1.61394052E+00  2.16390281E+00  0.00000000E+00
    3900  8.80928796E-01  1.08292053E+00  1.65496598E+00  2.16510157E+00  0.00000000E+00
    4000  8.45496883E-01  9.61501863E-01  1.75510985E+00  2.17250118E+00  0.00000000E+00
    4100  8.22407772E-01  9.92456365E-01  1.74129927E+00  2.16643655E+00  0.00000000E+00
    4200  8.50172001E-01  9.13209196E-01  1.77412796E+00  2.16893372E+00  0.00000000E+00
    4300  7.89287760E-01  9.45099459E-01  1.78371210E+00  2.16744481E+00  0.00000000E+00
    4400  8.26390442E-01  1.00133416E+00  1.74120643E+00  2.17195559E+00  0.00000000E+00
    4500  7.29783547E-01  1.12493321E+00  1.71659504E+00  2.17824638E+00  0.00000000E+00
    4600  8.44239770E-01  1.03387026E+00  1.70425767E+00  2.16474541E+00  0.00000000E+00
    4700  9.04418133E-01  8.72846148E-01  1.76999541E+00  2.17087916E+00  0.00000000E+00
    4800  8.76274812E-01  9.78651464E-01  1.72330636E+00  2.16688741E+00  0.00000000E+00
    4900  7.33740002E-01  1.02832725E+00  1.76085501E+00  2.16712752E+00  0.00000000E+00
