#  Iter.   M_avg.    U_Bind.    Susc.
    1801  1.945791  0.666519  0.009733
    1811  1.945907  0.666519  0.009750
    1821  1.945806  0.666519  0.009762
    1831  1.945541  0.666519  0.009775
    1841  1.945111  0.666519  0.009793
    1851  1.944996  0.666518  0.009808
    1861  1.944999  0.666518  0.009819
    1871  1.944570  0.666518  0.009836
    1881  1.944000  0.666517  0.009866
    1891  1.943549  0.666517  0.009902
    1901  1.943398  0.666516  0.009935
    1911  1.943369  0.666516  0.009963
    1921  1.943531  0.666516  0.009988
    1931  1.943457  0.666515  0.010010
    1941  1.943355  0.666515  0.010028
    1951  1.943666  0.666515  0.010048
    1961  1.943848  0.666514  0.010067
    1971  1.944375  0.666514  0.010095
    1981  1.944906  0.666513  0.010133
    1991  1.945289  0.666513  0.010174
    1801  2.003278  0.666549  0.010260
    1811  2.002991  0.666549  0.010256
    1821  2.002895  0.666549  0.010249
    1831  2.002623  0.666550  0.010244
    1841  2.002599  0.666550  0.010236
    1851  2.002642  0.666550  0.010225
    1861  2.002893  0.666550  0.010216
    1871  2.002976  0.666550  0.010205
    1881  2.002923  0.666550  0.010192
    1891  2.002804  0.666550  0.010178
    1901  2.002836  0.666551  0.010162
    1911  2.002514  0.666551  0.010151
    1921  2.002430  0.666551  0.010139
    1931  2.002095  0.666551  0.010131
    1941  2.001878  0.666551  0.010125
    1951  2.001850  0.666551  0.010116
    1961  2.001848  0.666551  0.010106
    1971  2.002051  0.666551  0.010097
    1981  2.002367  0.666551  0.010091
    1991  2.002503  0.666551  0.010085
    1801  2.060210  0.666602  0.008019
    1811  2.060265  0.666601  0.008067
    1821  2.060198  0.666601  0.008109
    1831  2.060344  0.666601  0.008147
    1841  2.060431  0.666600  0.008180
    1851  2.060183  0.666600  0.008214
    1861  2.060145  0.666600  0.008243
    1871  2.060078  0.666600  0.008269
    1881  2.060052  0.666600  0.008290
    1891  2.059843  0.666599  0.008312
    1901  2.059688  0.666599  0.008332
    1911  2.059738  0.666599  0.008349
    1921  2.059625  0.666599  0.008365
    1931  2.059684  0.666599  0.008377
    1941  2.059656  0.666599  0.008387
    1951  2.059598  0.666599  0.008395
    1961  2.059558  0.666599  0.008401
    1971  2.059724  0.666599  0.008406
    1981  2.059635  0.666599  0.008411
    1991  2.059280  0.666598  0.008423
    1801  2.117173  0.666647  0.003783
    1811  2.117177  0.666647  0.003777
    1821  2.117106  0.666647  0.003771
    1831  2.117139  0.666647  0.003764
    1841  2.117200  0.666647  0.003756
    1851  2.117261  0.666647  0.003749
    1861  2.117137  0.666647  0.003743
    1871  2.117020  0.666648  0.003738
    1881  2.116910  0.666648  0.003734
    1891  2.116787  0.666648  0.003731
    1901  2.116638  0.666648  0.003730
    1911  2.116591  0.666648  0.003728
    1921  2.116678  0.666648  0.003727
    1931  2.116639  0.666648  0.003725
    1941  2.116523  0.666648  0.003723
    1951  2.116444  0.666648  0.003722
    1961  2.116462  0.666648  0.003720
    1971  2.116532  0.666648  0.003718
    1981  2.116567  0.666648  0.003715
    1991  2.116505  0.666648  0.003713
    1801  2.168133  0.666661  0.002319
    1811  2.168067  0.666661  0.002314
    1821  2.168053  0.666661  0.002309
    1831  2.168004  0.666661  0.002303
    1841  2.167971  0.666661  0.002298
    1851  2.167950  0.666661  0.002293
    1861  2.167967  0.666661  0.002287
    1871  2.168016  0.666661  0.002281
    1881  2.167981  0.666661  0.002276
    1891  2.167978  0.666661  0.002270
    1901  2.167941  0.666661  0.002264
    1911  2.167933  0.666661  0.002258
    1921  2.167917  0.666661  0.002252
    1931  2.167931  0.666661  0.002246
    1941  2.168028  0.666661  0.002242
    1951  2.168094  0.666661  0.002238
    1961  2.168052  0.666661  0.002235
    1971  2.167986  0.666661  0.002233
    1981  2.168014  0.666661  0.002230
    1991  2.168036  0.666661  0.002227
