  # ter.  Type             <M>           <M^2>           <M^4>      U_{Binder}            \chi
       1     1  2.65291661E+00  7.03796653E+00  4.95329729E+01  6.66666667E-01  0.00000000E+00
       1     2  1.68136678E+00  2.82699424E+00  7.99189645E+00  6.66666667E-01  0.00000000E+00
      11     1  2.65362051E+00  7.04171593E+00  4.95861611E+01  6.66663992E-01  1.37609324E-05
      11     2  1.68546829E+00  2.84081043E+00  8.07028412E+00  6.66663353E-01  6.87827680E-06
      21     1  2.65286854E+00  7.03773279E+00  4.95302830E+01  6.66662628E-01  2.07710414E-05
      21     2  1.68469086E+00  2.83818949E+00  8.05538988E+00  6.66663758E-01  6.03204458E-06
      31     1  2.65269427E+00  7.03680744E+00  4.95172376E+01  6.66662771E-01  2.00472069E-05
      31     2  1.68367070E+00  2.83475562E+00  8.03593678E+00  6.66662628E-01  8.37003182E-06
      41     1  2.65316758E+00  7.03932855E+00  4.95530008E+01  6.66660920E-01  2.95562168E-05
      41     2  1.68381373E+00  2.83523755E+00  8.03867281E+00  6.66662486E-01  8.66471145E-06
      51     1  2.65363310E+00  7.04179686E+00  4.95876989E+01  6.66661317E-01  2.75373477E-05
      51     2  1.68392472E+00  2.83561000E+00  8.04076958E+00  6.66663122E-01  7.34869371E-06
      61     1  2.65384232E+00  7.04290548E+00  4.96032622E+01  6.66661663E-01  2.57621184E-05
      61     2  1.68364948E+00  2.83468467E+00  8.03554039E+00  6.66662385E-01  8.87846839E-06
      71     1  2.65460658E+00  7.04696417E+00  4.96604947E+01  6.66661359E-01  2.73451592E-05
      71     2  1.68410380E+00  2.83621555E+00  8.04423122E+00  6.66662001E-01  9.68018033E-06
      81     1  2.65435066E+00  7.04560845E+00  4.96414718E+01  6.66660802E-01  3.02232120E-05
      81     2  1.68393636E+00  2.83565203E+00  8.04104007E+00  6.66661791E-01  1.01134087E-05
      91     1  2.65406852E+00  7.04411025E+00  4.96203495E+01  6.66660888E-01  2.97685725E-05
      91     2  1.68385674E+00  2.83538321E+00  8.03950763E+00  6.66662119E-01  9.43137056E-06
     101     1  2.65375565E+00  7.04244983E+00  4.95969670E+01  6.66660837E-01  3.00170876E-05
     101     2  1.68365236E+00  2.83469577E+00  8.03561912E+00  6.66661729E-01  1.02387522E-05
     111     1  2.65325832E+00  7.03981310E+00  4.95599089E+01  6.66660341E-01  3.25581957E-05
     111     2  1.68331426E+00  2.83355816E+00  8.02917951E+00  6.66661366E-01  1.09844826E-05
     121     1  2.65344550E+00  7.04080530E+00  4.95738474E+01  6.66660560E-01  3.14379015E-05
     121     2  1.68350221E+00  2.83419116E+00  8.03276951E+00  6.66661273E-01  1.11787899E-05
     131     1  2.65348009E+00  7.04099023E+00  4.95764903E+01  6.66660300E-01  3.27756667E-05
     131     2  1.68354510E+00  2.83433563E+00  8.03358900E+00  6.66661251E-01  1.12266541E-05
     141     1  2.65359276E+00  7.04158733E+00  4.95848749E+01  6.66660463E-01  3.19387573E-05
     141     2  1.68345312E+00  2.83402558E+00  8.03182762E+00  6.66661411E-01  1.08905903E-05
     151     1  2.65394534E+00  7.04345942E+00  4.96112649E+01  6.66660322E-01  3.26761455E-05
     151     2  1.68356180E+00  2.83439146E+00  8.03390102E+00  6.66661436E-01  1.08400930E-05
     161     1  2.65406764E+00  7.04410753E+00  4.96203657E+01  6.66660521E-01  3.16542446E-05
     161     2  1.68374539E+00  2.83500973E+00  8.03740704E+00  6.66661405E-01  1.09096612E-05
     171     1  2.65433211E+00  7.04551175E+00  4.96401602E+01  6.66660460E-01  3.19791049E-05
     171     2  1.68377534E+00  2.83511045E+00  8.03797673E+00  6.66661463E-01  1.07875938E-05
     181     1  2.65435769E+00  7.04564656E+00  4.96420320E+01  6.66660647E-01  3.10151974E-05
     181     2  1.68373933E+00  2.83498905E+00  8.03728676E+00  6.66661531E-01  1.06467119E-05
     191     1  2.65430464E+00  7.04536388E+00  4.96380188E+01  6.66660846E-01  2.99848957E-05
     191     2  1.68373096E+00  2.83496066E+00  8.03712360E+00  6.66661621E-01  1.04578726E-05
     201     1  2.65439127E+00  7.04582444E+00  4.96445269E+01  6.66660725E-01  3.06130777E-05
     201     2  1.68380106E+00  2.83519655E+00  8.03845891E+00  6.66661714E-01  1.02665505E-05
     211     1  2.65435051E+00  7.04560723E+00  4.96414433E+01  6.66660878E-01  2.98217145E-05
     211     2  1.68366400E+00  2.83473539E+00  8.03584856E+00  6.66661531E-01  1.06446278E-05
     221     1  2.65457075E+00  7.04677685E+00  4.96579364E+01  6.66660811E-01  3.01753936E-05
     221     2  1.68368007E+00  2.83478909E+00  8.03614850E+00  6.66661718E-01  1.02568061E-05
     231     1  2.65462082E+00  7.04704323E+00  4.96617061E+01  6.66660707E-01  3.07103561E-05
     231     2  1.68381901E+00  2.83525741E+00  8.03880872E+00  6.66661520E-01  1.06692176E-05
     241     1  2.65466654E+00  7.04728517E+00  4.96650941E+01  6.66660855E-01  2.99493826E-05
     241     2  1.68382117E+00  2.83526449E+00  8.03884689E+00  6.66661602E-01  1.04993777E-05
