################################################################################
# File type: R
# Simulation type: M
# Number of atoms:       432
# Number of ensembles:         1
################################################################################
  # iter     ens   iatom           |Mom|             M_x             M_y             M_z
      -1       1       1    2.72070000E+00  3.22257369E-01  5.03824994E-01  8.01442801E-01
      -1       1       2    1.72020000E+00  3.24196628E-01  4.69592342E-01  8.21206173E-01
      -1       1       3    2.72070000E+00  2.97024644E-01  5.09624781E-01  8.07501668E-01
      -1       1       4    1.72020000E+00  1.48119436E-01  4.76422798E-01  8.66649843E-01
      -1       1       5    2.72070000E+00  3.78006570E-01  5.70610664E-01  7.29050412E-01
      -1       1       6    1.72020000E+00  3.12939865E-01  4.31587532E-01  8.46050142E-01
      -1       1       7    2.72070000E+00  3.33201132E-01  4.58016850E-01  8.24134438E-01
      -1       1       8    1.72020000E+00  4.22695652E-01  5.22779195E-01  7.40290686E-01
      -1       1       9    2.72070000E+00  1.95769273E-01  4.19560475E-01  8.86365274E-01
      -1       1      10    1.72020000E+00  4.64226033E-01  5.51973554E-01  6.92689964E-01
      -1       1      11    2.72070000E+00  4.03684424E-01  4.21210080E-01  8.12170520E-01
      -1       1      12    1.72020000E+00  3.73134763E-01  4.02574964E-01  8.35885068E-01
      -1       1      13    2.72070000E+00  3.53668071E-01  3.54855730E-01  8.65445727E-01
      -1       1      14    1.72020000E+00  4.52448375E-01  4.30379955E-01  7.81065659E-01
      -1       1      15    2.72070000E+00  3.56187263E-03  5.50160324E-01  8.35051454E-01
      -1       1      16    1.72020000E+00  3.55156972E-01  6.66823618E-01  6.55141044E-01
      -1       1      17    2.72070000E+00  3.62832911E-01  3.96123295E-01  8.43468206E-01
      -1       1      18    1.72020000E+00  3.48356625E-01  5.98063517E-01  7.21780916E-01
      -1       1      19    2.72070000E+00  4.77573761E-01  4.30158258E-01  7.66085619E-01
      -1       1      20    1.72020000E+00  3.69811552E-01  4.66477856E-01  8.03515915E-01
      -1       1      21    2.72070000E+00  9.78438256E-02  4.65043017E-01  8.79864522E-01
      -1       1      22    1.72020000E+00  3.24603709E-01  5.73636745E-01  7.52046087E-01
      -1       1      23    2.72070000E+00  5.72451594E-01  3.35032183E-01  7.48366627E-01
      -1       1      24    1.72020000E+00  4.20544199E-01  6.39770593E-01  6.43300991E-01
      -1       1      25    2.72070000E+00  1.72376115E-01  6.20041953E-01  7.65398231E-01
      -1       1      26    1.72020000E+00  3.38175469E-01  4.42479113E-01  8.30571843E-01
      -1       1      27    2.72070000E+00  3.54842775E-01  4.59477987E-01  8.14227600E-01
      -1       1      28    1.72020000E+00  2.93003888E-01  3.61834562E-01  8.84999701E-01
      -1       1      29    2.72070000E+00  4.21616512E-01  4.79131302E-01  7.69852396E-01
      -1       1      30    1.72020000E+00  2.30931064E-01  5.24825654E-01  8.19285589E-01
      -1       1      31    2.72070000E+00  5.50821553E-01  5.76721586E-01  6.03314039E-01
      -1       1      32    1.72020000E+00  2.47561608E-01  5.51229696E-01  7.96780442E-01
      -1       1      33    2.72070000E+00  2.45077094E-01  5.22263096E-01  8.16809939E-01
      -1       1      34    1.72020000E+00  3.55986531E-01  4.93431764E-01  7.93598566E-01
      -1       1      35    2.72070000E+00  1.58690193E-01  7.15585626E-01  6.80260710E-01
      -1       1      36    1.72020000E+00  2.15924377E-01  2.32118034E-01  9.48418622E-01
      -1       1      37    2.72070000E+00  2.69707341E-01  2.77916698E-01  9.21965433E-01
      -1       1      38    1.72020000E+00  2.68878576E-01  4.89229410E-01  8.29673970E-01
      -1       1      39    2.72070000E+00  2.28349288E-01  5.57953737E-01  7.97837221E-01
      -1       1      40    1.72020000E+00  2.46574116E-01  4.76507122E-01  8.43885163E-01
      -1       1      41    2.72070000E+00  6.12797742E-01  4.21842719E-01  6.68227243E-01
      -1       1      42    1.72020000E+00  3.00609368E-01  5.75587596E-01  7.60482036E-01
      -1       1      43    2.72070000E+00 -8.94860988E-02  6.07368096E-01  7.89364449E-01
      -1       1      44    1.72020000E+00  2.42391084E-01  6.08075936E-01  7.55969720E-01
      -1       1      45    2.72070000E+00  2.83291974E-01  5.98300057E-01  7.49521647E-01
      -1       1      46    1.72020000E+00  2.82155917E-01  4.52530872E-01  8.45933714E-01
      -1       1      47    2.72070000E+00  4.02114009E-01  5.59165488E-01  7.25009159E-01
      -1       1      48    1.72020000E+00  2.51387558E-01  4.39375285E-01  8.62411534E-01
      -1       1      49    2.72070000E+00  2.82919866E-01  3.10260326E-01  9.07576376E-01
      -1       1      50    1.72020000E+00  2.79875312E-01  3.09078364E-01  9.08922645E-01
      -1       1      51    2.72070000E+00  3.01464852E-01  5.36089952E-01  7.88496358E-01
      -1       1      52    1.72020000E+00  2.34728414E-01  5.48493755E-01  8.02531727E-01
      -1       1      53    2.72070000E+00  4.31456010E-01  5.65361219E-01  7.03002421E-01
      -1       1      54    1.72020000E+00  3.92482755E-01  4.03788918E-01  8.26384775E-01
      -1       1      55    2.72070000E+00  2.02782397E-01  5.11664140E-01  8.34912634E-01
      -1       1      56    1.72020000E+00  3.84290565E-02  4.65005390E-01  8.84473400E-01
      -1       1      57    2.72070000E+00  2.59342411E-01  4.75333721E-01  8.40713606E-01
      -1       1      58    1.72020000E+00  3.08438756E-01  3.56031589E-01  8.82103759E-01
      -1       1      59    2.72070000E+00  2.20771818E-01  4.80644485E-01  8.48669950E-01
      -1       1      60    1.72020000E+00  3.80708531E-01  4.18910144E-01  8.24363576E-01
      -1       1      61    2.72070000E+00  2.50468395E-01  5.42782811E-01  8.01656038E-01
      -1       1      62    1.72020000E+00  3.90482816E-01  5.19584322E-01  7.59970593E-01
      -1       1      63    2.72070000E+00  4.25034060E-01  4.95845627E-01  7.57286710E-01
      -1       1      64    1.72020000E+00  3.49906167E-01  6.83375377E-01  6.40752501E-01
      -1       1      65    2.72070000E+00  4.13404057E-01  6.45322002E-01  6.42383530E-01
      -1       1      66    1.72020000E+00  4.34461610E-01  5.42353209E-01  7.19093948E-01
      -1       1      67    2.72070000E+00  2.37647409E-01  4.98451620E-01  8.33708397E-01
      -1       1      68    1.72020000E+00  1.78144066E-01  4.88925304E-01  8.53941883E-01
      -1       1      69    2.72070000E+00  1.51451739E-01  5.09073652E-01  8.47293566E-01
      -1       1      70    1.72020000E+00  4.95653711E-01  3.09631109E-01  8.11453003E-01
      -1       1      71    2.72070000E+00  3.09524727E-01  3.56780008E-01  8.81420711E-01
      -1       1      72    1.72020000E+00  3.08146884E-01  5.65517193E-01  7.65007061E-01
      -1       1      73    2.72070000E+00  3.55600845E-01  3.89277777E-01  8.49712217E-01
      -1       1      74    1.72020000E+00  4.38170208E-01  2.59811212E-01  8.60526004E-01
      -1       1      75    2.72070000E+00  1.19710174E-01  4.51363492E-01  8.84273980E-01
      -1       1      76    1.72020000E+00  2.61891107E-01  5.30353747E-01  8.06311324E-01
      -1       1      77    2.72070000E+00  3.50002614E-01  5.01492742E-01  7.91203640E-01
      -1       1      78    1.72020000E+00  5.85216827E-01  3.34547994E-01  7.38646671E-01
