   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -5.91914658E-01 -6.82279922E-01 -6.27866227E-01  1.78728922E+00  2.41603244E-02
      50 -5.97586124E-01 -7.47775313E-01 -6.62283884E-01  1.77695992E+00  3.53931726E-02
     100 -6.28657668E-01 -7.66624153E-01 -6.65342776E-01  1.79754669E+00  1.68604266E-02
     150 -5.68795453E-01 -6.94188216E-01 -6.50556984E-01  1.77748086E+00  1.71393418E-02
     200 -6.64244600E-01 -5.96703083E-01 -6.65640754E-01  1.76943787E+00  3.10743772E-02
     250 -7.96637271E-01 -5.03600538E-01 -6.45472526E-01  1.78319186E+00  3.15651183E-02
     300 -7.27389360E-01 -4.52436831E-01 -6.56387964E-01  1.78467801E+00  1.78501645E-02
     350 -8.51791663E-01 -4.42702171E-01 -5.96854663E-01  1.76914746E+00  2.52993459E-02
     400 -7.60195285E-01 -4.78204215E-01 -5.34229840E-01  1.77193814E+00  5.44035358E-02
     450 -7.25846640E-01 -4.67716764E-01 -5.85670991E-01  1.78705068E+00  2.18530961E-02
     500 -5.60223527E-01 -5.66709397E-01 -6.99503567E-01  1.78298445E+00  1.58202229E-02
     550 -5.38672130E-01 -5.73772674E-01 -6.49569566E-01  1.80308358E+00  2.40081569E-02
     600 -5.04793780E-01 -6.78583638E-01 -6.05663393E-01  1.77857754E+00  1.93434079E-02
     650 -4.27371099E-01 -6.29485682E-01 -6.50981530E-01  1.75932002E+00  3.56323974E-02
     700 -4.64177889E-01 -7.19945903E-01 -6.27759277E-01  1.78006484E+00  3.53903426E-02
     750 -5.36202408E-01 -7.48933854E-01 -7.20294460E-01  1.79446365E+00  3.29872064E-02
     800 -5.20358588E-01 -7.57678234E-01 -5.88770041E-01  1.80048880E+00  3.20698048E-02
     850 -5.36931551E-01 -8.46341007E-01 -6.40085511E-01  1.78072786E+00  2.60301149E-02
     900 -5.22327660E-01 -8.63887326E-01 -6.29593827E-01  1.76876873E+00  2.65816243E-02
     950 -4.34285026E-01 -7.06751367E-01 -7.59829870E-01  1.77163860E+00  3.32140300E-02
    1000 -4.52477415E-01 -6.67664331E-01 -8.77276339E-01  1.79254611E+00  3.63701658E-02
    1050 -4.65207545E-01 -7.00404874E-01 -7.93675318E-01  1.81731115E+00  2.09688326E-02
    1100 -6.25545848E-01 -6.21862936E-01 -7.06222562E-01  1.79406623E+00  3.28007333E-02
    1150 -5.31262576E-01 -5.78236035E-01 -6.77892573E-01  1.75711552E+00  2.47243246E-02
    1200 -6.11086844E-01 -5.41902090E-01 -6.58248192E-01  1.80815444E+00  2.39539546E-02
    1250 -6.65860952E-01 -5.84445165E-01 -5.58381551E-01  1.78707799E+00  1.73127883E-02
    1300 -6.56529109E-01 -5.92395951E-01 -4.68541411E-01  1.78923522E+00  1.86274880E-02
    1350 -5.73973938E-01 -5.48506350E-01 -4.15310374E-01  1.76964307E+00  4.61128101E-02
    1400 -6.58144714E-01 -4.98594459E-01 -4.44073009E-01  1.75083708E+00  3.91424220E-02
    1450 -7.57512115E-01 -5.65514329E-01 -4.31532024E-01  1.79001216E+00  2.76923519E-02
    1500 -6.96372495E-01 -5.07744241E-01 -4.63287414E-01  1.74204488E+00  3.46027116E-02
    1550 -6.85116605E-01 -5.10151626E-01 -4.05910690E-01  1.76879188E+00  3.70540909E-02
    1600 -6.84614034E-01 -5.46474264E-01 -3.71087204E-01  1.76135187E+00  3.11691474E-02
    1650 -7.30463454E-01 -5.18088779E-01 -3.63201085E-01  1.75307493E+00  4.16228858E-02
    1700 -7.72856660E-01 -5.58066413E-01 -3.32426986E-01  1.77715935E+00  1.90417229E-02
    1750 -6.98333659E-01 -4.61519935E-01 -2.55545819E-01  1.76390656E+00  1.28126630E-02
    1800 -6.90273655E-01 -4.27897731E-01 -1.74723103E-01  1.75073800E+00  2.88710562E-02
    1850 -6.91522481E-01 -4.78548468E-01 -2.34903296E-01  1.76768660E+00  3.97803824E-02
    1900 -5.23388969E-01 -4.55298920E-01 -1.36103340E-01  1.76437001E+00  2.28484112E-02
    1950 -4.26805356E-01 -5.29270899E-01 -1.87012890E-01  1.75206336E+00  3.28319334E-02
    2000 -3.89136075E-01 -5.80152535E-01 -1.40493498E-01  1.74367179E+00  2.56749783E-02
    2050 -3.57668920E-01 -6.35131293E-01 -7.28650634E-02  1.74132285E+00  2.20961312E-02
    2100 -3.54749912E-01 -6.18112881E-01 -1.50088925E-01  1.77519270E+00  2.12326764E-02
    2150 -3.74205550E-01 -6.02434162E-01 -1.18775409E-01  1.78118578E+00  2.34356367E-02
    2200 -4.97003263E-01 -6.25265794E-01  7.71806393E-03  1.79330339E+00  2.75125016E-02
    2250 -5.27676484E-01 -6.34300981E-01  5.72077181E-02  1.76138239E+00  2.68827556E-02
    2300 -5.03215313E-01 -5.13313018E-01  2.35660656E-02  1.75090605E+00  2.96713471E-02
    2350 -6.58276524E-01 -5.55431297E-01 -4.44993678E-02  1.77001719E+00  2.74105656E-02
    2400 -6.99172638E-01 -5.79633521E-01 -1.26269585E-02  1.75517968E+00  2.49385886E-02
    2450 -6.80157359E-01 -4.99003485E-01 -4.56359338E-02  1.77887905E+00  1.34922178E-02
    2500 -6.27271851E-01 -5.09910524E-01 -9.35317395E-03  1.76721445E+00  4.00765635E-02
    2550 -6.11129540E-01 -4.69645430E-01 -1.94286575E-02  1.73297659E+00  2.88948050E-02
    2600 -6.07607510E-01 -5.37570530E-01  2.00851521E-02  1.75187557E+00  2.77998927E-02
    2650 -5.43251869E-01 -6.18450760E-01 -1.29380290E-02  1.76082317E+00  2.82292169E-02
    2700 -4.73488272E-01 -7.23297506E-01 -7.39193809E-02  1.80022429E+00  2.44383751E-02
    2750 -4.34791394E-01 -7.58972908E-01 -5.30813452E-03  1.76702385E+00  3.26454628E-02
    2800 -4.67994182E-01 -7.97870583E-01 -6.33374808E-02  1.75405260E+00  3.16534110E-02
    2850 -4.33689046E-01 -8.02512865E-01 -7.59431735E-02  1.76944070E+00  3.23802584E-02
    2900 -3.97243301E-01 -7.86180827E-01  3.20929813E-02  1.77610561E+00  4.54091571E-02
    2950 -3.14099779E-01 -9.06847626E-01  7.59470998E-02  1.79588424E+00  3.47996576E-02
