#  Iter.   M_avg.    U_Bind.    Susc.
    1801  0.124381  0.521926  0.128055
    1811  0.124434  0.522047  0.127838
    1821  0.124124  0.522141  0.127618
    1831  0.123773  0.522201  0.127417
    1841  0.123572  0.522243  0.127217
    1851  0.123445  0.522283  0.127008
    1861  0.123350  0.522336  0.126779
    1871  0.123387  0.522416  0.126534
    1881  0.123353  0.522513  0.126273
    1891  0.123348  0.522626  0.126000
    1901  0.123156  0.522734  0.125717
    1911  0.123192  0.522863  0.125423
    1921  0.123413  0.523009  0.125134
    1931  0.123437  0.523172  0.124837
    1941  0.123407  0.523334  0.124548
    1951  0.123321  0.523489  0.124270
    1961  0.123205  0.523617  0.124012
    1971  0.123219  0.523750  0.123753
    1981  0.123047  0.523875  0.123493
    1991  0.123095  0.524002  0.123243
    1801  0.300914  0.664533  0.012060
    1811  0.301009  0.664534  0.012058
    1821  0.300998  0.664534  0.012059
    1831  0.301078  0.664535  0.012057
    1841  0.301137  0.664536  0.012054
    1851  0.301159  0.664537  0.012050
    1861  0.301222  0.664538  0.012045
    1871  0.301368  0.664539  0.012044
    1881  0.301526  0.664538  0.012049
    1891  0.301677  0.664537  0.012057
    1901  0.301802  0.664537  0.012065
    1911  0.301966  0.664535  0.012075
    1921  0.301972  0.664534  0.012083
    1931  0.301917  0.664533  0.012092
    1941  0.301787  0.664532  0.012104
    1951  0.301777  0.664531  0.012112
    1961  0.301736  0.664529  0.012122
    1971  0.301731  0.664528  0.012132
    1981  0.301772  0.664526  0.012141
    1991  0.301856  0.664525  0.012151
    1801  0.354757  0.666079  0.006441
    1811  0.354751  0.666079  0.006441
    1821  0.354819  0.666079  0.006441
    1831  0.354843  0.666079  0.006439
    1841  0.354924  0.666079  0.006440
    1851  0.354965  0.666079  0.006440
    1861  0.354978  0.666079  0.006440
    1871  0.354994  0.666079  0.006439
    1881  0.355013  0.666079  0.006439
    1891  0.355020  0.666079  0.006437
    1901  0.355075  0.666080  0.006436
    1911  0.355175  0.666080  0.006436
    1921  0.355215  0.666080  0.006435
    1931  0.355198  0.666080  0.006433
    1941  0.355166  0.666080  0.006432
    1951  0.355074  0.666080  0.006435
    1961  0.355035  0.666080  0.006439
    1971  0.355039  0.666080  0.006441
    1981  0.355014  0.666080  0.006443
    1991  0.355009  0.666080  0.006444
