#  Iter.   M_avg.    U_Bind.    Susc.
     901  0.021747  0.445974  0.003508
     911  0.021442  0.445645  0.003504
     921  0.021346  0.445304  0.003498
     931  0.021435  0.445168  0.003492
     941  0.021500  0.445138  0.003486
     951  0.021434  0.445118  0.003478
     961  0.021317  0.444992  0.003471
     971  0.021466  0.445134  0.003464
     981  0.021469  0.445313  0.003458
     991  0.021563  0.445675  0.003450
     901  0.068569  0.489739  0.035733
     911  0.068705  0.490456  0.035764
     921  0.068658  0.491211  0.035752
     931  0.068815  0.491977  0.035735
     941  0.069131  0.492719  0.035734
     951  0.069381  0.493505  0.035731
     961  0.069591  0.494260  0.035728
     971  0.069993  0.495038  0.035732
     981  0.070528  0.495564  0.035788
     991  0.070721  0.495904  0.035887
    2701  0.022647  0.428121  0.004023
    2711  0.022654  0.428227  0.004018
    2721  0.022590  0.428298  0.004014
    2731  0.022601  0.428386  0.004010
    2741  0.022613  0.428499  0.004006
    2751  0.022640  0.428649  0.004001
    2761  0.022652  0.428764  0.003997
    2771  0.022674  0.428887  0.003994
    2781  0.022689  0.429031  0.003990
    2791  0.022784  0.429075  0.003988
    2801  0.022793  0.429138  0.003986
    2811  0.022745  0.429184  0.003984
    2821  0.022719  0.429224  0.003982
    2831  0.022752  0.429270  0.003980
    2841  0.022755  0.429327  0.003977
    2851  0.022826  0.429428  0.003975
    2861  0.022775  0.429508  0.003973
    2871  0.022811  0.429611  0.003971
    2881  0.022829  0.429690  0.003969
    2891  0.022769  0.429744  0.003968
    2901  0.022780  0.429809  0.003966
    2911  0.022735  0.429860  0.003965
    2921  0.022767  0.429924  0.003963
    2931  0.022815  0.429984  0.003962
    2941  0.022791  0.430042  0.003960
    2951  0.022769  0.430099  0.003959
    2961  0.022762  0.430154  0.003957
    2971  0.022760  0.430219  0.003956
    2981  0.022732  0.430279  0.003954
    2991  0.022770  0.430348  0.003952
