   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
       0 -5.22109101E-01 -3.10993764E-01 -4.59908836E-01  9.75968721E-01  5.69192717E-02
      50 -3.76533687E-01 -3.68511284E-01 -5.04133917E-01  9.37164838E-01  1.15424607E-01
     100 -2.46730907E-01 -3.30048626E-01 -5.36626283E-01  9.00354807E-01  5.43323531E-02
     150 -2.35786064E-01 -4.06159233E-01 -3.75432391E-01  8.76470513E-01  7.80459640E-02
     200 -1.04593807E-01 -2.03045149E-01 -2.72958367E-01  6.83325762E-01  8.32565599E-02
     250 -1.06408476E-01 -2.36783032E-01 -3.42880011E-01  7.17891565E-01  5.37002330E-02
     300 -1.33863716E-01 -2.02313435E-01 -3.62436325E-01  7.80042880E-01  4.27797964E-02
     350 -1.74387739E-01 -2.93693806E-01 -4.86343095E-01  8.30636829E-01  4.58864218E-02
     400 -1.46118672E-01 -2.59087896E-01 -5.57520733E-01  8.24360299E-01  7.72650765E-02
     450 -1.68471925E-01 -2.17059965E-01 -5.28971121E-01  8.01371026E-01  2.73178327E-02
     500 -7.70628672E-02 -1.35544275E-01 -6.45737195E-01  8.74029595E-01  7.64911042E-02
     550 -2.15300230E-01 -1.49182462E-01 -6.78720447E-01  9.44757596E-01  1.05435897E-01
     600 -2.58304097E-01 -2.06427134E-01 -6.29810929E-01  9.16520092E-01  6.90446619E-02
     650 -1.93204476E-01 -2.95326591E-01 -6.01691235E-01  9.21698652E-01  5.10007615E-02
     700 -2.17933091E-03 -5.04943245E-01 -6.14790227E-01  9.96332042E-01  1.44389270E-01
     750 -4.11974647E-02 -3.95725739E-01 -5.36136801E-01  8.85470261E-01  3.63969632E-02
     800 -4.04790647E-02 -3.75802436E-01 -5.38825014E-01  8.81221687E-01  7.37866372E-02
     850 -1.82254116E-02 -3.69793830E-01 -6.06935753E-01  9.03161702E-01  7.45772364E-02
     900  4.24220003E-02 -2.89046640E-01 -5.53731060E-01  8.65609132E-01  8.56726477E-02
     950 -3.37367331E-02 -2.55693403E-01 -5.47701982E-01  8.42842228E-01  6.38189353E-02
    1000 -1.23776194E-01 -2.26161624E-01 -5.19911668E-01  8.09692130E-01  8.77933644E-02
    1050 -8.35935157E-02 -1.81284642E-01 -4.19740056E-01  7.27521046E-01  9.39562782E-02
    1100 -1.21933166E-01 -1.09342896E-01 -4.77938581E-01  8.18339935E-01  6.49011351E-02
    1150 -1.70803991E-02  5.17157523E-02 -5.24542628E-01  7.91742474E-01  1.33843802E-01
    1200  5.42256739E-02  1.02774011E-01 -6.08511898E-01  8.85546235E-01  1.19260232E-01
    1250  1.43722499E-01 -1.20048564E-01 -6.31920652E-01  8.57776082E-01  6.68647742E-02
    1300  1.59617880E-01 -1.36252605E-01 -5.55182820E-01  8.21731506E-01  1.65339417E-01
    1350  1.55710191E-01 -9.21226456E-02 -6.21510188E-01  8.94996762E-01  7.24816935E-02
    1400  6.61879296E-02 -4.86539532E-02 -7.04632925E-01  9.37684960E-01  9.53132075E-02
    1450  4.83741869E-02 -3.80267887E-02 -7.17208870E-01  8.61755686E-01  8.80812197E-02
    1500 -1.89859911E-02 -7.47942732E-02 -8.23233610E-01  9.35845542E-01  9.75337328E-02
    1550 -7.23748782E-02 -6.52765935E-02 -8.17031282E-01  9.32787869E-01  6.22234502E-02
    1600 -2.46051226E-01 -8.16964678E-03 -7.11679356E-01  8.40174024E-01  9.00680051E-02
    1650 -3.04588113E-01 -2.74877298E-02 -8.09916786E-01  9.29316136E-01  1.61666752E-01
    1700 -2.74864838E-01 -7.15407828E-02 -7.55593630E-01  8.94133356E-01  1.99115554E-01
    1750 -3.19833145E-01 -1.02846425E-01 -6.22312644E-01  8.19635539E-01  1.40486806E-01
    1800 -1.58925164E-01  2.06784885E-02 -6.47020090E-01  8.37712499E-01  1.12064540E-01
    1850 -2.38878778E-01 -1.83756458E-03 -6.50843566E-01  8.30639094E-01  1.10680320E-01
    1900 -2.99808053E-01  3.70576668E-02 -6.49099988E-01  8.66025049E-01  9.54958729E-02
    1950 -2.32128408E-01 -6.21786508E-02 -5.75625462E-01  8.44775364E-01  8.93074646E-02
    2000 -3.94192479E-01 -6.38058273E-02 -5.81804333E-01  9.51169095E-01  1.00543609E-01
    2050 -4.38651345E-01  4.85889195E-02 -4.40564005E-01  8.40564478E-01  6.38032461E-02
    2100 -4.37383168E-01  3.64306307E-02 -4.04580205E-01  8.70967578E-01  4.96919896E-02
    2150 -4.53226927E-01 -2.13429668E-02 -3.47881120E-01  9.38601201E-01  4.34234452E-02
    2200 -4.31449056E-01  4.83880998E-02 -3.45095864E-01  8.90861967E-01  7.17990559E-02
    2250 -5.41394734E-01 -5.56626429E-02 -2.93043337E-01  8.68999055E-01  1.21832074E-01
    2300 -4.48930817E-01 -9.47037579E-02 -2.55770229E-01  8.55056469E-01  8.06703885E-02
    2350 -3.43506477E-01 -2.50663836E-02 -2.44068411E-01  8.96234308E-01  4.14769289E-02
    2400 -4.23180573E-01  1.98924205E-02 -3.26939121E-01  9.14405760E-01  4.64119188E-02
    2450 -3.65682366E-01  6.95330411E-03 -3.37852703E-01  8.62690503E-01  3.48100863E-02
    2500 -2.56302589E-01  3.33884337E-02 -4.01355355E-01  8.99768681E-01  1.10201986E-01
    2550 -2.05337348E-01  4.11751106E-02 -2.64332932E-01  8.11317011E-01  8.86062203E-02
    2600 -1.15872695E-01  4.59656762E-02 -3.75377041E-01  8.85170542E-01  1.17420573E-01
    2650 -1.25824149E-02 -9.25457383E-02 -2.11592694E-01  8.90996078E-01  1.19601372E-01
    2700  4.20252588E-02 -9.19379029E-02 -2.40447955E-01  9.32544535E-01  7.29403587E-02
    2750  6.67428145E-03 -1.46755062E-01 -1.27910500E-01  8.65064299E-01  6.58156372E-02
    2800 -7.97038481E-02 -1.26868973E-01 -2.32537698E-01  9.25006034E-01  7.15891730E-02
    2850 -1.13248642E-01 -2.00906786E-01 -3.86548132E-01  9.77957365E-01  2.88759580E-02
    2900 -2.94471217E-01 -1.44141808E-01 -5.45316549E-01  9.74430883E-01  1.77676013E-01
    2950 -2.52824499E-01 -9.22466090E-02 -4.91148693E-01  9.00534104E-01  1.76072763E-01
    3000 -2.71576061E-01 -6.38436042E-02 -5.02933296E-01  9.29963401E-01  1.33496888E-01
    3050 -2.75249372E-01 -1.02757932E-01 -4.83177899E-01  8.82895074E-01  6.90718087E-02
    3100 -2.52512901E-01 -2.57396125E-01 -4.33524822E-01  8.11831134E-01  6.43929599E-02
    3150 -2.71643679E-01 -2.58450486E-01 -4.89032236E-01  8.82568330E-01  6.27144765E-02
    3200 -1.81075443E-01 -4.81405318E-01 -4.97575400E-01  9.69102626E-01  3.40465599E-02
    3250 -2.37628466E-01 -4.58001590E-01 -4.55559506E-01  8.86978145E-01  1.10984983E-01
    3300 -3.26327376E-01 -4.46857580E-01 -4.43291080E-01  9.35265601E-01  5.37192496E-02
    3350 -1.90051777E-01 -5.52712390E-01 -4.55445827E-01  9.16024091E-01  5.26233688E-02
    3400 -2.14954548E-01 -5.46619515E-01 -4.74896835E-01  8.72056532E-01  7.40735525E-02
    3450 -2.78258039E-01 -5.53973891E-01 -3.50710589E-01  8.73225620E-01  4.70888679E-02
    3500 -1.35708302E-01 -6.25937734E-01 -3.85998149E-01  8.98340569E-01  4.90296277E-02
    3550 -7.17658108E-02 -5.25005174E-01 -3.69565556E-01  8.05706507E-01  7.34839185E-02
    3600  4.76990158E-02 -4.69516176E-01 -3.24827704E-01  8.12054407E-01  2.41706600E-02
    3650 -3.78497158E-02 -4.18486678E-01 -3.26411716E-01  7.85981535E-01  1.34672735E-01
    3700  6.38551984E-02 -2.61054336E-01 -1.63083906E-01  7.33656681E-01  1.19212096E-01
    3750  1.50254632E-01 -2.16957764E-01 -1.92552604E-01  7.71266421E-01  1.27874726E-01
    3800  1.87928122E-01 -1.62537117E-01 -2.44819423E-01  8.74092715E-01  1.23449384E-01
    3850  2.11438979E-01 -2.84199892E-01 -2.18010898E-01  9.09394888E-01  7.79635576E-02
    3900  2.14206164E-01 -1.88571245E-01 -4.99384548E-02  9.42564585E-01  7.08053265E-02
    3950  2.58745302E-01 -1.63356673E-01 -2.67986308E-02  8.90704078E-01  1.15163369E-01
    4000  2.14040872E-01 -1.39703495E-01 -2.29524548E-03  8.45750149E-01  1.15420442E-01
    4050  1.48800921E-01 -6.31605894E-02  1.87877210E-02  8.54899564E-01  1.02645981E-01
    4100  2.28284169E-01  2.93473984E-02  1.56456192E-01  7.93506973E-01  8.98846013E-02
    4150  2.30739753E-01 -3.76706355E-04 -1.05460411E-02  7.61888434E-01  1.08314285E-01
    4200  3.43667766E-01  3.16653891E-02  4.25301945E-02  8.34501286E-01  9.07584817E-02
    4250  2.79875674E-01  1.46032027E-01 -2.26978762E-02  8.34432659E-01  1.34819678E-01
    4300  3.90857515E-01 -2.73721917E-02  8.24161927E-02  8.70494408E-01  1.17230091E-01
    4350  3.68385058E-01 -6.07790553E-02 -4.80734436E-02  9.17406658E-01  8.18638766E-02
    4400  3.90568659E-01 -1.08470766E-01  1.52266974E-01  8.81589332E-01  1.19847865E-01
    4450  2.51412080E-01  3.83795116E-02  9.74152310E-02  8.34434931E-01  7.91772932E-02
    4500  2.11813889E-01  1.17142977E-01  2.05171131E-01  8.97627093E-01  6.52705179E-02
    4550  2.55582917E-01  1.77694845E-01  1.24830941E-01  8.93107841E-01  1.02258078E-01
    4600  1.78134909E-01  1.14116967E-01  5.48167587E-02  8.58874746E-01  1.07206012E-01
    4650  1.22858343E-01  1.52647825E-01  1.71790593E-01  8.94184367E-01  6.08774329E-02
    4700  2.21123403E-01  4.39391869E-02  3.01184823E-02  8.79764727E-01  1.44450849E-01
    4750  2.49489695E-01  7.85179970E-02 -2.67714737E-02  8.60567376E-01  1.03288276E-01
    4800  3.20137990E-01  1.00713370E-01  1.52789597E-01  8.07858750E-01  1.62243506E-01
    4850  1.27040116E-01  2.36996836E-02  2.32591493E-01  7.60557171E-01  1.34464586E-01
    4900  5.40450783E-02  1.22095902E-01  2.28424064E-01  8.48805716E-01  3.85479662E-02
    4950  6.90990177E-02  1.05351643E-02  1.24682179E-01  8.16056914E-01  4.48296628E-02
    5000 -9.18889450E-02 -2.05487458E-02  1.93485979E-02  8.47540252E-01  1.61109534E-01
    5050 -8.01994946E-02 -1.27243098E-01  7.74282819E-02  8.53974902E-01  1.78246572E-01
    5100 -7.55764615E-02 -8.41712234E-02  2.80479020E-01  9.23208636E-01  7.54842799E-02
    5150 -1.45953076E-01 -1.42447665E-01  1.46680646E-01  9.97524721E-01  1.22462268E-02
    5200 -2.18723355E-01 -7.22415599E-02  4.37676778E-02  8.93985709E-01  9.03317791E-02
    5250 -2.66534734E-01 -1.25583386E-01  8.61153451E-02  8.29271626E-01  1.02898239E-01
